sub,fb_condition,efficacy,rt,cor
1a,positivefb,eff,473,0
1a,positivefb,noneff,573,0
1a,positivefb,noneff,336,1
1a,positivefb,eff,401,0
1a,positivefb,eff,404,1
1a,positivefb,eff,349,1
1a,positivefb,eff,439,1
1a,positivefb,eff,521,1
1a,positivefb,eff,555,1
1a,positivefb,eff,594,1
1a,positivefb,noneff,358,0
1a,positivefb,noneff,811,1
1a,positivefb,eff,299,0
1a,positivefb,noneff,378,0
1a,positivefb,noneff,387,0
1a,positivefb,noneff,437,1
1a,positivefb,eff,453,1
1a,positivefb,noneff,534,1
1a,positivefb,eff,284,1
1a,positivefb,eff,583,0
1a,positivefb,eff,905,1
1a,positivefb,eff,855,0
1a,positivefb,noneff,405,1
1a,positivefb,noneff,498,1
1a,positivefb,eff,291,0
1a,positivefb,noneff,334,0
1a,positivefb,eff,329,0
1a,positivefb,noneff,375,1
1a,positivefb,noneff,1295,1
1a,positivefb,eff,515,0
1a,positivefb,eff,600,1
1a,positivefb,eff,307,1
1a,positivefb,eff,308,1
1a,positivefb,noneff,607,0
1a,positivefb,eff,290,0
1a,positivefb,noneff,468,1
1a,positivefb,noneff,405,0
1a,positivefb,eff,1042,1
1a,positivefb,noneff,406,0
1a,positivefb,noneff,429,0
1a,positivefb,noneff,353,0
1a,positivefb,noneff,519,1
1a,positivefb,noneff,903,0
1a,positivefb,eff,469,0
1a,positivefb,noneff,565,1
1a,positivefb,noneff,756,1
1a,positivefb,eff,323,1
1a,positivefb,noneff,318,1
1a,positivefb,eff,450,0
1a,positivefb,noneff,576,0
1a,positivefb,noneff,354,1
1a,positivefb,eff,402,1
1a,positivefb,noneff,791,1
1a,positivefb,eff,473,0
1a,positivefb,eff,639,0
1a,positivefb,noneff,607,1
1a,positivefb,noneff,647,0
1a,positivefb,eff,503,1
1a,positivefb,noneff,540,1
1a,positivefb,noneff,566,1
1a,positivefb,eff,531,1
1a,positivefb,eff,762,0
1a,positivefb,noneff,632,1
1a,positivefb,eff,459,0
1a,positivefb,noneff,587,1
1a,positivefb,noneff,517,0
1a,positivefb,eff,387,0
1a,positivefb,eff,320,1
1a,positivefb,noneff,388,1
1a,positivefb,noneff,650,1
1a,positivefb,noneff,450,1
1a,positivefb,noneff,389,1
1a,positivefb,eff,420,1
1a,positivefb,noneff,419,1
1a,positivefb,noneff,524,0
1a,positivefb,eff,473,0
1a,positivefb,eff,595,1
1a,positivefb,eff,528,1
1a,positivefb,eff,596,1
1a,positivefb,noneff,471,1
1a,positivefb,eff,478,0
1a,positivefb,noneff,471,1
1a,positivefb,eff,414,1
1a,positivefb,noneff,287,1
1a,positivefb,noneff,479,1
1a,positivefb,eff,395,0
1a,positivefb,noneff,500,1
1a,positivefb,noneff,348,1
1a,positivefb,eff,467,0
1a,positivefb,eff,373,1
1a,positivefb,noneff,509,1
1a,positivefb,noneff,445,1
1a,positivefb,noneff,470,1
1a,positivefb,eff,747,1
1a,positivefb,eff,1212,1
1a,positivefb,eff,953,1
1a,positivefb,eff,422,1
1a,positivefb,eff,679,1
1a,positivefb,noneff,434,1
1a,positivefb,eff,311,1
1a,positivefb,noneff,926,0
1a,positivefb,eff,348,1
1a,positivefb,eff,272,1
1a,positivefb,eff,313,1
1a,positivefb,eff,315,0
1a,positivefb,noneff,371,0
1a,positivefb,noneff,245,1
1a,positivefb,noneff,388,0
1a,positivefb,eff,336,0
1a,positivefb,noneff,387,1
1a,positivefb,noneff,460,1
1a,positivefb,eff,442,0
1a,positivefb,eff,395,1
1a,positivefb,noneff,393,0
1a,positivefb,eff,496,1
1a,positivefb,eff,484,0
1a,positivefb,eff,354,1
1a,positivefb,eff,498,1
1a,positivefb,eff,406,1
1a,positivefb,noneff,319,0
1a,positivefb,noneff,363,0
1a,positivefb,noneff,369,1
1a,positivefb,noneff,345,0
1a,positivefb,noneff,768,0
1a,positivefb,noneff,352,0
1a,positivefb,eff,487,1
1a,positivefb,noneff,376,1
1a,positivefb,eff,499,1
1a,positivefb,eff,345,0
1a,positivefb,eff,388,1
1a,positivefb,noneff,388,1
1a,positivefb,noneff,504,0
1a,positivefb,noneff,388,1
1a,positivefb,eff,351,1
1a,positivefb,eff,307,0
1a,positivefb,noneff,381,1
1a,positivefb,noneff,412,0
1a,positivefb,eff,361,1
1a,positivefb,eff,615,0
1a,positivefb,noneff,358,0
1a,positivefb,eff,395,0
1a,positivefb,noneff,345,0
1a,positivefb,noneff,496,1
1a,positivefb,noneff,285,0
1a,positivefb,eff,303,0
1a,positivefb,noneff,358,1
1a,positivefb,eff,323,0
1a,positivefb,eff,324,1
1a,positivefb,noneff,348,1
1a,positivefb,eff,292,1
1a,negativefb,eff,506,1
1a,negativefb,eff,644,1
1a,negativefb,eff,371,0
1a,negativefb,eff,479,1
1a,negativefb,noneff,480,1
1a,negativefb,noneff,542,0
1a,negativefb,eff,692,1
1a,negativefb,noneff,776,0
1a,negativefb,eff,655,1
1a,negativefb,noneff,579,1
1a,negativefb,eff,691,1
1a,negativefb,eff,589,1
1a,negativefb,noneff,612,1
1a,negativefb,eff,588,1
1a,negativefb,eff,596,0
1a,negativefb,noneff,930,0
1a,negativefb,noneff,485,1
1a,negativefb,noneff,722,0
1a,negativefb,noneff,539,1
1a,negativefb,noneff,892,1
1a,negativefb,eff,791,1
1a,negativefb,noneff,856,1
1a,negativefb,noneff,656,0
1a,negativefb,noneff,583,1
1a,negativefb,eff,758,1
1a,negativefb,noneff,667,1
1a,negativefb,eff,664,1
1a,negativefb,eff,713,1
1a,negativefb,noneff,701,1
1a,negativefb,eff,707,1
1a,negativefb,noneff,666,1
1a,negativefb,eff,539,0
1a,negativefb,eff,535,1
1a,negativefb,noneff,729,0
1a,negativefb,eff,927,1
1a,negativefb,noneff,906,1
1a,negativefb,noneff,712,1
1a,negativefb,eff,641,1
1a,negativefb,eff,654,1
1a,negativefb,noneff,915,0
1a,negativefb,eff,598,1
1a,negativefb,noneff,603,0
1a,negativefb,noneff,567,1
1a,negativefb,eff,588,1
1a,negativefb,noneff,1001,0
1a,negativefb,eff,681,0
1a,negativefb,noneff,743,0
1a,negativefb,eff,756,0
1a,negativefb,noneff,792,1
1a,negativefb,eff,1425,1
1a,negativefb,noneff,768,1
1a,negativefb,noneff,675,0
1a,negativefb,noneff,621,1
1a,negativefb,noneff,778,1
1a,negativefb,noneff,980,1
1a,negativefb,noneff,718,1
1a,negativefb,eff,1180,1
1a,negativefb,noneff,657,1
1a,negativefb,eff,1636,1
1a,negativefb,eff,656,1
1a,negativefb,noneff,649,1
1a,negativefb,eff,683,1
1a,negativefb,noneff,690,1
1a,negativefb,noneff,358,1
1a,negativefb,noneff,643,1
1a,negativefb,eff,693,1
1a,negativefb,eff,613,0
1a,negativefb,eff,499,0
1a,negativefb,eff,458,0
1a,negativefb,eff,822,0
1a,negativefb,eff,587,1
1a,negativefb,noneff,1291,0
1a,negativefb,eff,523,1
1a,negativefb,noneff,731,0
1a,negativefb,eff,481,1
1a,negativefb,eff,727,1
1a,negativefb,noneff,694,1
1a,negativefb,noneff,612,1
1a,negativefb,eff,565,1
1a,negativefb,noneff,746,1
1a,negativefb,eff,486,1
1a,negativefb,eff,499,1
1a,negativefb,noneff,568,1
1a,negativefb,eff,794,1
1a,negativefb,noneff,889,1
1a,negativefb,eff,723,1
1a,negativefb,eff,688,1
1a,negativefb,noneff,639,1
1a,negativefb,eff,1280,0
1a,negativefb,noneff,782,1
1a,negativefb,noneff,657,1
1a,negativefb,noneff,643,1
1a,negativefb,noneff,568,1
1a,negativefb,eff,894,1
1a,negativefb,eff,616,1
1a,negativefb,noneff,643,1
1a,negativefb,eff,708,1
1a,negativefb,noneff,652,1
1a,negativefb,eff,705,1
1a,negativefb,noneff,534,1
1a,negativefb,eff,518,0
1a,negativefb,noneff,540,1
1a,negativefb,noneff,662,1
1a,negativefb,noneff,575,1
1a,negativefb,noneff,636,1
1a,negativefb,eff,551,1
1a,negativefb,eff,700,1
1a,negativefb,eff,607,1
1a,negativefb,eff,568,1
1a,negativefb,eff,616,1
1a,negativefb,noneff,726,1
1a,negativefb,eff,635,0
1a,negativefb,noneff,612,1
1a,negativefb,eff,747,0
1a,negativefb,eff,616,1
1a,negativefb,noneff,687,1
1a,negativefb,noneff,774,0
1a,negativefb,noneff,676,1
1a,negativefb,eff,546,1
1a,negativefb,noneff,1225,0
1a,negativefb,eff,552,1
1a,negativefb,eff,833,1
1a,negativefb,eff,664,0
1a,negativefb,noneff,1010,0
1a,negativefb,eff,879,1
1a,negativefb,noneff,826,1
1a,negativefb,noneff,1273,1
1a,negativefb,eff,729,1
1a,negativefb,eff,803,1
1a,negativefb,eff,799,1
1a,negativefb,noneff,622,0
1a,negativefb,noneff,647,1
1a,negativefb,noneff,676,1
1a,negativefb,noneff,699,1
1a,negativefb,noneff,661,1
1a,negativefb,noneff,584,0
1a,negativefb,eff,725,1
1a,negativefb,eff,929,1
1a,negativefb,noneff,912,0
1a,negativefb,noneff,746,1
1a,negativefb,noneff,792,1
1a,negativefb,eff,623,1
1a,negativefb,eff,568,1
1a,negativefb,eff,600,1
1a,negativefb,eff,698,1
1a,negativefb,eff,694,0
1a,negativefb,noneff,692,1
1a,negativefb,noneff,786,1
1a,negativefb,noneff,557,0
1a,negativefb,eff,658,1
2a,negativefb,noneff,1196,1
2a,negativefb,noneff,1136,1
2a,negativefb,noneff,909,1
2a,negativefb,eff,1117,1
2a,negativefb,eff,835,1
2a,negativefb,eff,1108,0
2a,negativefb,eff,1195,1
2a,negativefb,eff,1968,0
2a,negativefb,noneff,982,1
2a,negativefb,eff,779,0
2a,negativefb,eff,1368,0
2a,negativefb,noneff,1646,1
2a,negativefb,eff,1938,1
2a,negativefb,eff,872,1
2a,negativefb,noneff,1149,1
2a,negativefb,eff,1066,1
2a,negativefb,noneff,2297,0
2a,negativefb,noneff,1587,1
2a,negativefb,eff,869,1
2a,negativefb,noneff,1158,1
2a,negativefb,eff,776,1
2a,negativefb,eff,864,1
2a,negativefb,noneff,753,1
2a,negativefb,noneff,840,1
2a,negativefb,eff,822,1
2a,negativefb,eff,917,1
2a,negativefb,eff,1028,1
2a,negativefb,noneff,941,1
2a,negativefb,eff,1558,1
2a,negativefb,noneff,1413,0
2a,negativefb,noneff,1251,0
2a,negativefb,eff,826,1
2a,negativefb,eff,1128,1
2a,negativefb,eff,757,0
2a,negativefb,noneff,739,1
2a,negativefb,eff,1137,1
2a,negativefb,noneff,913,1
2a,negativefb,noneff,659,1
2a,negativefb,noneff,720,1
2a,negativefb,noneff,783,0
2a,negativefb,noneff,873,1
2a,negativefb,noneff,785,1
2a,negativefb,noneff,1640,0
2a,negativefb,eff,984,1
2a,negativefb,eff,1001,1
2a,negativefb,noneff,1049,0
2a,negativefb,eff,1146,1
2a,negativefb,noneff,772,1
2a,negativefb,eff,973,1
2a,negativefb,noneff,832,1
2a,negativefb,eff,826,0
2a,negativefb,eff,1035,0
2a,negativefb,eff,1232,0
2a,negativefb,eff,632,1
2a,negativefb,eff,668,1
2a,negativefb,eff,647,1
2a,negativefb,noneff,1494,1
2a,negativefb,eff,1306,1
2a,negativefb,noneff,1505,0
2a,negativefb,noneff,951,0
2a,negativefb,eff,730,1
2a,negativefb,eff,1231,1
2a,negativefb,eff,975,1
2a,negativefb,noneff,973,1
2a,negativefb,eff,1119,1
2a,negativefb,eff,1147,1
2a,negativefb,eff,1572,1
2a,negativefb,noneff,634,1
2a,negativefb,noneff,1000,1
2a,negativefb,noneff,920,0
2a,negativefb,noneff,1188,1
2a,negativefb,eff,977,1
2a,negativefb,eff,725,1
2a,negativefb,noneff,699,1
2a,negativefb,noneff,614,1
2a,negativefb,eff,853,1
2a,negativefb,eff,1308,0
2a,negativefb,eff,1315,0
2a,negativefb,noneff,1079,1
2a,negativefb,noneff,1236,1
2a,negativefb,eff,964,1
2a,negativefb,eff,1009,1
2a,negativefb,noneff,818,1
2a,negativefb,noneff,1025,1
2a,negativefb,noneff,1077,0
2a,negativefb,noneff,1132,0
2a,negativefb,noneff,1058,1
2a,negativefb,noneff,771,1
2a,negativefb,noneff,1020,1
2a,negativefb,eff,748,1
2a,negativefb,eff,1140,1
2a,negativefb,noneff,1183,1
2a,negativefb,noneff,1196,0
2a,negativefb,eff,1573,0
2a,negativefb,noneff,1024,1
2a,negativefb,eff,865,1
2a,negativefb,noneff,1610,0
2a,negativefb,noneff,889,1
2a,negativefb,eff,1089,1
2a,negativefb,noneff,2185,0
2a,negativefb,eff,1230,1
2a,negativefb,noneff,578,1
2a,negativefb,eff,681,1
2a,negativefb,noneff,702,0
2a,negativefb,eff,698,1
2a,negativefb,noneff,870,1
2a,negativefb,noneff,664,1
2a,negativefb,eff,1003,0
2a,negativefb,eff,1054,1
2a,negativefb,noneff,1253,1
2a,negativefb,noneff,755,0
2a,negativefb,eff,650,1
2a,negativefb,noneff,1025,1
2a,negativefb,eff,906,1
2a,negativefb,noneff,831,0
2a,negativefb,eff,999,1
2a,negativefb,noneff,718,0
2a,negativefb,noneff,1202,1
2a,negativefb,noneff,868,0
2a,negativefb,noneff,1242,1
2a,negativefb,eff,1195,1
2a,negativefb,noneff,652,1
2a,negativefb,eff,947,1
2a,negativefb,eff,670,1
2a,negativefb,eff,918,0
2a,negativefb,noneff,1151,1
2a,negativefb,noneff,590,1
2a,negativefb,eff,1149,0
2a,negativefb,noneff,1238,1
2a,negativefb,noneff,1514,1
2a,negativefb,eff,1616,0
2a,negativefb,noneff,1441,1
2a,negativefb,eff,979,1
2a,negativefb,noneff,743,1
2a,negativefb,eff,639,1
2a,negativefb,eff,905,1
2a,negativefb,noneff,785,1
2a,negativefb,eff,662,0
2a,negativefb,eff,1130,0
2a,negativefb,noneff,650,1
2a,negativefb,eff,749,1
2a,negativefb,eff,1126,0
2a,negativefb,noneff,602,1
2a,negativefb,noneff,715,1
2a,negativefb,noneff,1074,1
2a,negativefb,eff,601,1
2a,negativefb,noneff,1032,1
2a,negativefb,eff,1201,1
2a,negativefb,eff,1236,1
2a,negativefb,noneff,862,1
2a,positivefb,eff,696,0
2a,positivefb,eff,1157,0
2a,positivefb,noneff,591,1
2a,positivefb,noneff,606,1
2a,positivefb,noneff,552,1
2a,positivefb,eff,585,1
2a,positivefb,noneff,695,1
2a,positivefb,noneff,590,1
2a,positivefb,noneff,626,0
2a,positivefb,eff,570,0
2a,positivefb,eff,548,1
2a,positivefb,noneff,559,1
2a,positivefb,eff,498,1
2a,positivefb,eff,572,1
2a,positivefb,eff,667,0
2a,positivefb,eff,1449,1
2a,positivefb,noneff,1098,0
2a,positivefb,noneff,615,1
2a,positivefb,eff,706,0
2a,positivefb,eff,610,1
2a,positivefb,noneff,587,1
2a,positivefb,noneff,558,1
2a,positivefb,noneff,815,1
2a,positivefb,eff,596,0
2a,positivefb,eff,661,0
2a,positivefb,eff,1219,1
2a,positivefb,noneff,522,1
2a,positivefb,noneff,550,0
2a,positivefb,noneff,513,1
2a,positivefb,noneff,610,0
2a,positivefb,noneff,713,0
2a,positivefb,eff,631,0
2a,positivefb,noneff,1086,1
2a,positivefb,noneff,736,0
2a,positivefb,noneff,631,1
2a,positivefb,eff,747,1
2a,positivefb,noneff,798,0
2a,positivefb,noneff,603,1
2a,positivefb,eff,582,1
2a,positivefb,eff,691,1
2a,positivefb,noneff,654,0
2a,positivefb,eff,583,0
2a,positivefb,eff,878,0
2a,positivefb,eff,679,0
2a,positivefb,eff,625,1
2a,positivefb,eff,1838,0
2a,positivefb,noneff,563,0
2a,positivefb,noneff,568,1
2a,positivefb,eff,499,0
2a,positivefb,eff,508,1
2a,positivefb,eff,747,0
2a,positivefb,eff,641,1
2a,positivefb,noneff,762,1
2a,positivefb,noneff,500,1
2a,positivefb,noneff,581,1
2a,positivefb,noneff,504,1
2a,positivefb,eff,907,0
2a,positivefb,eff,686,0
2a,positivefb,noneff,612,1
2a,positivefb,eff,547,1
2a,positivefb,eff,730,0
2a,positivefb,eff,611,1
2a,positivefb,noneff,533,1
2a,positivefb,eff,615,1
2a,positivefb,eff,735,1
2a,positivefb,noneff,979,0
2a,positivefb,noneff,1745,1
2a,positivefb,eff,477,1
2a,positivefb,eff,576,0
2a,positivefb,noneff,708,0
2a,positivefb,eff,997,1
2a,positivefb,eff,889,0
2a,positivefb,noneff,698,0
2a,positivefb,eff,647,1
2a,positivefb,noneff,1169,1
2a,positivefb,eff,630,1
2a,positivefb,noneff,671,1
2a,positivefb,eff,764,1
2a,positivefb,noneff,789,1
2a,positivefb,eff,521,1
2a,positivefb,eff,572,1
2a,positivefb,noneff,580,0
2a,positivefb,noneff,1330,1
2a,positivefb,noneff,600,1
2a,positivefb,noneff,542,1
2a,positivefb,noneff,579,1
2a,positivefb,noneff,561,1
2a,positivefb,eff,657,0
2a,positivefb,noneff,1630,1
2a,positivefb,eff,538,1
2a,positivefb,eff,607,1
2a,positivefb,noneff,792,1
2a,positivefb,eff,1065,1
2a,positivefb,noneff,769,1
2a,positivefb,eff,977,0
2a,positivefb,noneff,1213,0
2a,positivefb,noneff,621,0
2a,positivefb,noneff,655,1
2a,positivefb,noneff,520,1
2a,positivefb,eff,764,0
2a,positivefb,noneff,587,1
2a,positivefb,eff,646,1
2a,positivefb,noneff,630,1
2a,positivefb,eff,618,0
2a,positivefb,noneff,748,1
2a,positivefb,noneff,668,1
2a,positivefb,noneff,868,1
2a,positivefb,eff,719,0
2a,positivefb,eff,651,1
2a,positivefb,noneff,830,0
2a,positivefb,eff,645,1
2a,positivefb,eff,1180,1
2a,positivefb,noneff,1391,0
2a,positivefb,eff,1349,1
2a,positivefb,noneff,1071,1
2a,positivefb,noneff,715,0
2a,positivefb,noneff,715,1
2a,positivefb,noneff,812,1
2a,positivefb,eff,731,1
2a,positivefb,eff,931,0
2a,positivefb,eff,1503,1
2a,positivefb,eff,703,1
2a,positivefb,noneff,1084,0
2a,positivefb,eff,792,1
2a,positivefb,noneff,585,1
2a,positivefb,eff,1052,0
2a,positivefb,noneff,652,1
2a,positivefb,noneff,847,1
2a,positivefb,noneff,647,1
2a,positivefb,eff,761,1
2a,positivefb,eff,582,0
2a,positivefb,noneff,797,0
2a,positivefb,noneff,779,1
2a,positivefb,eff,631,0
2a,positivefb,noneff,596,1
2a,positivefb,noneff,892,1
2a,positivefb,noneff,896,1
2a,positivefb,noneff,907,1
2a,positivefb,noneff,1093,1
2a,positivefb,eff,531,1
2a,positivefb,eff,649,1
2a,positivefb,eff,686,1
2a,positivefb,eff,610,1
2a,positivefb,noneff,660,0
2a,positivefb,eff,922,0
2a,positivefb,eff,1075,1
2a,positivefb,noneff,545,1
2a,positivefb,eff,775,0
2a,positivefb,noneff,729,1
2a,positivefb,eff,865,1
3a,negativefb,noneff,359,1
3a,negativefb,eff,1000,1
3a,negativefb,noneff,715,1
3a,negativefb,noneff,580,0
3a,negativefb,noneff,630,1
3a,negativefb,noneff,905,1
3a,negativefb,eff,850,0
3a,negativefb,noneff,610,1
3a,negativefb,noneff,665,1
3a,negativefb,noneff,636,1
3a,negativefb,eff,669,1
3a,negativefb,eff,712,1
3a,negativefb,eff,804,1
3a,negativefb,noneff,632,1
3a,negativefb,noneff,616,1
3a,negativefb,noneff,902,0
3a,negativefb,eff,541,1
3a,negativefb,eff,665,1
3a,negativefb,eff,555,1
3a,negativefb,eff,625,1
3a,negativefb,noneff,779,1
3a,negativefb,noneff,709,1
3a,negativefb,eff,693,1
3a,negativefb,noneff,772,1
3a,negativefb,eff,564,1
3a,negativefb,noneff,567,1
3a,negativefb,noneff,577,1
3a,negativefb,eff,885,0
3a,negativefb,eff,587,1
3a,negativefb,noneff,508,0
3a,negativefb,eff,608,1
3a,negativefb,eff,992,1
3a,negativefb,eff,862,1
3a,negativefb,eff,736,1
3a,negativefb,noneff,607,1
3a,negativefb,eff,1145,0
3a,negativefb,noneff,724,0
3a,negativefb,eff,943,0
3a,negativefb,noneff,1209,1
3a,negativefb,noneff,648,1
3a,negativefb,eff,676,0
3a,negativefb,eff,664,1
3a,negativefb,eff,691,1
3a,negativefb,eff,562,1
3a,negativefb,eff,817,1
3a,negativefb,noneff,830,1
3a,negativefb,noneff,569,1
3a,negativefb,eff,596,1
3a,negativefb,noneff,589,1
3a,negativefb,eff,492,1
3a,negativefb,eff,629,1
3a,negativefb,noneff,354,0
3a,negativefb,eff,768,0
3a,negativefb,noneff,291,0
3a,negativefb,noneff,264,1
3a,negativefb,eff,898,0
3a,negativefb,noneff,79,1
3a,negativefb,eff,515,1
3a,negativefb,eff,689,1
3a,negativefb,eff,702,1
3a,negativefb,eff,645,1
3a,negativefb,noneff,236,1
3a,negativefb,eff,656,1
3a,negativefb,noneff,345,1
3a,negativefb,eff,660,1
3a,negativefb,eff,658,1
3a,negativefb,noneff,180,1
3a,negativefb,noneff,273,1
3a,negativefb,noneff,255,1
3a,negativefb,noneff,238,1
3a,negativefb,eff,459,1
3a,negativefb,eff,873,0
3a,negativefb,eff,661,1
3a,negativefb,noneff,290,1
3a,negativefb,noneff,268,0
3a,negativefb,eff,654,1
3a,negativefb,noneff,262,0
3a,negativefb,eff,768,1
3a,negativefb,eff,785,1
3a,negativefb,eff,664,1
3a,negativefb,noneff,684,0
3a,negativefb,noneff,242,0
3a,negativefb,noneff,231,0
3a,negativefb,noneff,150,0
3a,negativefb,eff,688,1
3a,negativefb,noneff,11,1
3a,negativefb,eff,533,0
3a,negativefb,noneff,34,1
3a,negativefb,noneff,146,1
3a,negativefb,eff,567,1
3a,negativefb,eff,610,0
3a,negativefb,eff,537,1
3a,negativefb,eff,758,1
3a,negativefb,noneff,234,1
3a,negativefb,noneff,121,0
3a,negativefb,noneff,252,0
3a,negativefb,noneff,266,0
3a,negativefb,eff,749,1
3a,negativefb,noneff,173,0
3a,negativefb,eff,803,1
3a,negativefb,eff,566,1
3a,negativefb,eff,643,1
3a,negativefb,noneff,196,1
3a,negativefb,noneff,11,1
3a,negativefb,eff,922,1
3a,negativefb,noneff,693,1
3a,negativefb,noneff,246,1
3a,negativefb,noneff,256,0
3a,negativefb,noneff,142,0
3a,negativefb,noneff,247,1
3a,negativefb,noneff,352,1
3a,negativefb,eff,689,1
3a,negativefb,noneff,137,1
3a,negativefb,noneff,236,1
3a,negativefb,eff,454,0
3a,negativefb,noneff,172,0
3a,negativefb,noneff,116,0
3a,negativefb,eff,736,1
3a,negativefb,eff,523,1
3a,negativefb,eff,877,1
3a,negativefb,eff,781,0
3a,negativefb,noneff,41,1
3a,negativefb,noneff,236,1
3a,negativefb,noneff,309,1
3a,negativefb,eff,841,1
3a,negativefb,eff,737,1
3a,negativefb,noneff,155,0
3a,negativefb,noneff,116,0
3a,negativefb,noneff,137,1
3a,negativefb,noneff,252,0
3a,negativefb,eff,837,0
3a,negativefb,eff,679,1
3a,negativefb,noneff,57,0
3a,negativefb,eff,636,1
3a,negativefb,eff,814,1
3a,negativefb,eff,980,1
3a,negativefb,noneff,250,0
3a,negativefb,eff,602,1
3a,negativefb,noneff,230,1
3a,negativefb,eff,703,1
3a,negativefb,eff,668,1
3a,negativefb,noneff,182,0
3a,negativefb,noneff,281,0
3a,negativefb,noneff,247,0
3a,negativefb,eff,636,1
3a,negativefb,eff,566,1
3a,negativefb,eff,864,1
3a,negativefb,eff,753,1
3a,negativefb,eff,540,1
3a,negativefb,eff,641,1
3a,positivefb,eff,937,1
3a,positivefb,noneff,593,1
3a,positivefb,eff,748,1
3a,positivefb,noneff,9,1
3a,positivefb,noneff,9,0
3a,positivefb,eff,730,1
3a,positivefb,noneff,237,0
3a,positivefb,noneff,22,0
3a,positivefb,noneff,282,0
3a,positivefb,eff,678,1
3a,positivefb,noneff,133,0
3a,positivefb,noneff,233,1
3a,positivefb,noneff,343,0
3a,positivefb,eff,1194,1
3a,positivefb,eff,1070,1
3a,positivefb,noneff,218,0
3a,positivefb,noneff,327,0
3a,positivefb,eff,1579,1
3a,positivefb,noneff,256,1
3a,positivefb,eff,800,0
3a,positivefb,noneff,187,1
3a,positivefb,noneff,52,1
3a,positivefb,eff,806,1
3a,positivefb,eff,844,0
3a,positivefb,noneff,70,1
3a,positivefb,noneff,269,0
3a,positivefb,eff,758,1
3a,positivefb,eff,735,1
3a,positivefb,eff,689,1
3a,positivefb,noneff,235,1
3a,positivefb,eff,528,1
3a,positivefb,eff,838,0
3a,positivefb,noneff,263,0
3a,positivefb,eff,1001,1
3a,positivefb,eff,723,0
3a,positivefb,noneff,40,0
3a,positivefb,noneff,33,0
3a,positivefb,noneff,51,0
3a,positivefb,eff,704,1
3a,positivefb,noneff,454,0
3a,positivefb,eff,610,1
3a,positivefb,noneff,262,0
3a,positivefb,eff,690,0
3a,positivefb,noneff,282,1
3a,positivefb,eff,690,1
3a,positivefb,eff,1358,1
3a,positivefb,eff,630,1
3a,positivefb,noneff,231,1
3a,positivefb,noneff,357,1
3a,positivefb,eff,778,0
3a,positivefb,eff,707,1
3a,positivefb,noneff,156,0
3a,positivefb,eff,573,0
3a,positivefb,noneff,282,0
3a,positivefb,eff,431,1
3a,positivefb,eff,1102,1
3a,positivefb,noneff,257,1
3a,positivefb,noneff,149,1
3a,positivefb,eff,696,1
3a,positivefb,noneff,892,1
3a,positivefb,eff,836,1
3a,positivefb,eff,1272,1
3a,positivefb,noneff,265,0
3a,positivefb,noneff,311,1
3a,positivefb,noneff,311,0
3a,positivefb,eff,634,1
3a,positivefb,eff,620,1
3a,positivefb,noneff,311,0
3a,positivefb,noneff,1348,1
3a,positivefb,noneff,170,0
3a,positivefb,noneff,359,0
3a,positivefb,noneff,370,0
3a,positivefb,eff,672,1
3a,positivefb,noneff,154,1
3a,positivefb,eff,559,1
3a,positivefb,noneff,282,0
3a,positivefb,noneff,70,0
3a,positivefb,eff,1218,0
3a,positivefb,noneff,128,0
3a,positivefb,eff,653,1
3a,positivefb,eff,599,1
3a,positivefb,eff,843,0
3a,positivefb,eff,719,1
3a,positivefb,noneff,295,1
3a,positivefb,noneff,176,1
3a,positivefb,noneff,256,0
3a,positivefb,eff,662,1
3a,positivefb,eff,656,1
3a,positivefb,eff,537,1
3a,positivefb,eff,990,0
3a,positivefb,eff,712,1
3a,positivefb,noneff,585,1
3a,positivefb,noneff,242,0
3a,positivefb,noneff,157,0
3a,positivefb,eff,659,1
3a,positivefb,eff,1337,1
3a,positivefb,noneff,41,0
3a,positivefb,noneff,55,1
3a,positivefb,eff,856,1
3a,positivefb,eff,1470,0
3a,positivefb,eff,1461,1
3a,positivefb,eff,901,1
3a,positivefb,eff,1344,1
3a,positivefb,noneff,86,0
3a,positivefb,eff,956,0
3a,positivefb,noneff,9,0
3a,positivefb,eff,784,1
3a,positivefb,eff,1119,1
3a,positivefb,eff,1299,0
3a,positivefb,eff,851,1
3a,positivefb,noneff,24,1
3a,positivefb,eff,770,1
3a,positivefb,eff,985,1
3a,positivefb,noneff,191,0
3a,positivefb,eff,1189,0
3a,positivefb,eff,958,1
3a,positivefb,noneff,32,1
3a,positivefb,eff,1103,0
3a,positivefb,eff,889,0
3a,positivefb,noneff,32,1
3a,positivefb,noneff,228,0
3a,positivefb,noneff,28,1
3a,positivefb,noneff,385,0
3a,positivefb,noneff,167,0
3a,positivefb,eff,614,1
3a,positivefb,noneff,11,0
3a,positivefb,noneff,260,1
3a,positivefb,eff,721,0
3a,positivefb,eff,730,1
3a,positivefb,eff,712,1
3a,positivefb,noneff,43,0
3a,positivefb,eff,892,1
3a,positivefb,noneff,250,0
3a,positivefb,noneff,368,0
3a,positivefb,eff,1177,1
3a,positivefb,noneff,161,0
3a,positivefb,eff,950,1
3a,positivefb,eff,1091,1
3a,positivefb,noneff,616,1
3a,positivefb,noneff,72,1
3a,positivefb,noneff,320,1
3a,positivefb,eff,798,1
3a,positivefb,noneff,283,1
